P	1	Janusz	Senior	10	1	B	1	0
P	2	Jakub	Lazorko	50	2	B	2	1
P	3	Juliusz	Cezar	20	4	E	2	0
P	4	Max	Uczacy	44	1	O	2	0
S	1	3	13	1	1	0		
S	2	4	15	1	1	1		
S	3	3	16	1	1	1		
S	4	4	21	1	1	0		
S	5	7	8	1	1	0		
S	6	2	9	1	1	0		
S	7	3	9	1	1	0		
S	8	7	30	1	1	1		
S	9	3	3	1	1	0		
S	10	3	1	1	1	0		
S	11	1	21	1	1	1		
S	12	7	19	1	1	1		
S	13	5	29	1	1	1		
S	14	7	18	1	1	0		
S	15	4	21	1	1	0		
S	16	1	25	1	1	0		
S	17	7	21	1	1	1		
S	18	4	6	1	1	0		
S	19	0	30	1	1	1		
S	20	2	27	1	1	0		
S	21	1	16	1	1	1		
S	22	3	24	1	1	1		
S	23	1	24	1	1	0		
S	24	4	9	1	1	1		
S	25	6	33	1	1	0		
S	26	1	6	1	1	1		
S	27	0	24	1	1	1		
S	28	7	25	1	1	1		
S	29	5	0	1	1	0		
S	30	2	26	1	1	0		
S	31	5	11	1	1	0		
S	32	4	29	1	1	0		
S	33	4	16	1	1	0		
S	34	4	24	1	1	1		
S	35	0	19	1	1	0		
S	36	6	26	1	1	1		
S	37	7	0	1	1	0		
S	38	5	31	1	1	0		
S	39	4	13	1	1	0		
S	40	1	33	1	1	1		
S	41	1	33	1	1	0		
S	42	5	33	1	1	1		
S	43	2	15	1	1	1		
S	44	4	18	1	1	0		
S	45	4	12	1	1	0		
S	46	7	1	1	1	1		
S	47	5	0	1	1	1		
S	48	3	10	1	1	0		
S	49	3	14	1	1	0		
S	50	6	19	1	1	1		
A	1	Nauczyciel	Akademicki	5	4	B	2	0
A	2	Jolanta	Olowek	13	2	E	3	2
A	3	Rudolf	Siatka	9	4	O	0	0
